,Date,XAUINR BGN Curncy-Gold Index,INMSM1 Index-India Money Supply M1,PBINBSI Index-Price/Book -India Sensex 30,PEINB30 Index-Price/Earnings Ratio for the Sensex 30 Index,GIND10YR Index-India Govt Bond Generic Bid Yield 10 Year,GIND5YR Index-India Govt Bond Generic Bid Yield 5 Year,GIND4YR Index-India Govt Bond Generic Bid Yield 4 Year,GIND3YR Index-India Govt Bond Generic Bid Yield 3 Year,GIND1YR Index-India Govt Bond Generic Bid Yield 1 Year,INRPYLPD Index-Reserve Bank of India REPO Rate Policy (Daily),BCOPAAA0 Index-Bloomberg FIMMDA India Corporate Bond Curve AAA 10 Year,INFFFIDE Index-India Fiscal Deficit,USDINR Curncy-USDINR Spot Exchange Rate - Price of 1 USD in INR,INMFEQNT Index-India Mutual Fund Net Equity,FIINNET Index-India Net Foreign Equity Investment INR,DXY Curncy-Dollar Index,IRSWO1 Curncy-INR SWAP ONSH OIS 1Y,IRSWO5 Curncy-INR SWAP ONSH OIS 5Y,NIFTY Index-Forward P/E (12M Forward),NSE500 Index-Forward PE for Fiscal Year 3,BSE500 Index-Forward P/E (12M Forward),BSE500 Index-Forward PE for Fiscal Year 3,JBDCINR Index-J.P. Morgan India CPI-Based Real Broad Effective Exchange Rate,INPIINDY Index-india industrial production,INFDTO$Y Index-india monthly fdi,RBIBKRTE Index-RBI interest rate,INMSM3Y Index-INDIA M3 MONEY SUPPLY,INMSM1Y Index-INDIA M1 MONEY SUPPLY,ECOYBINN Index-INDIA TRADE BALANCE,5346629 Index-IMF INDIA PPI (PRODUCER PRICES INDEX),INMORES$ Index-Foreign Reserves India (USD),INBGRIW Index-Rural India Wage,INTXDITA Index-India Tax Collections,MIGININD Index-Migrant Remmitance Inflow,GHDIHDIN Index-India HDI,5349B34 Index-India GNI (Gross National Income),BELTINPG Index-India forecast GDP growth,BSE500 Index-Price Earnings Ratio (P/E),NSE500 Index-Price Earnings Ratio (P/E),BSE500 Index-Price to Book Ratio,NSE500 Index-Price to Book Ratio,NSE500 Index-EBITDA,BSE500 Index-Adjusted Price/Sales ratio,NSE500 Index-Adjusted Price/Sales ratio,NSE500 Index-P/S RATIO,BSE500 Index-P/S RATIO,MXIN000G Index-Price Earnings Ratio (P/E),MXIN000G Index-Price to Book Ratio,MXIN000G Index-P/S RATIO,MXIN000G Index-Dividend Yield (Actuals),MXIN000V Index-Price Earnings Ratio (P/E),MXIN000V Index-Price to Book Ratio,MXIN000V Index-P/S RATIO,MXIN000V Index-Dividend Yield (Actuals),SPBSMIP Index-Price Earnings Ratio (P/E),SPBSMIP Index-Price to Book Ratio,SPBSMIP Index-P/S RATIO,SPBSMIP Index-Dividend Yield (Actuals),SPB25SIP Index-Price Earnings Ratio (P/E),SPB25SIP Index-Price to Book Ratio,SPB25SIP Index-P/S RATIO,SPB25SIP Index-Dividend Yield (Actuals),NSE100 Index-Price Earnings Ratio (P/E),NSE100 Index-Price to Book Ratio,NSE100 Index-P/S RATIO,NSE100 Index-Dividend Yield (Actuals),NIFTY Index-P/S Ratio,NIFTY Index-P/E ratio
0,2002-04-01,14808.0018,423765,2.51,17.15,7.432,7.193,7.272,6.253,6.238,6.0,9.0,24779,48.815,-26.01,0.3,117.77,6.75,7.35,11.6416,7.7269,19.6084,7.5296,84.7,3.2,-66.67,6.5,14.13,11.69,-7.1,73.31,54154,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.1911,10.2338,1.2646,0.9051,2.1383,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
1,2002-04-02,14931.5018,423765,2.51,17.19,7.237,7.193,7.272,6.215,6.238,6.0,8.99,24779,48.82,-21.74,51.5,117.92,6.725,7.4,11.6416,7.7269,19.6084,7.5296,84.71,3.2,-66.67,6.5,14.13,11.69,-7.1,73.31,54154,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.1952,10.2338,1.2646,0.9051,2.1331,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
2,2002-04-03,14796.202,423765,2.48,16.97,7.236,7.193,7.272,6.207,6.238,6.0,8.87,24779,48.905,-23.15,-9.8,117.68,6.775,7.4,11.6416,7.7269,19.6084,7.5296,84.5,3.2,-66.67,6.5,14.13,11.69,-7.1,73.31,54154,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.2081,10.2338,1.2646,0.9051,2.1588,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
3,2002-04-04,14706.8016,423765,2.52,17.22,7.133,7.193,7.272,6.183,6.238,6.0,9.0,24779,48.86,-58.04,61.9,117.94,6.625,7.425,11.6416,7.7269,19.6084,7.5296,84.49,3.2,-66.67,6.5,14.13,11.69,-7.1,73.31,54154,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.1753,10.2338,1.2646,0.9051,2.1472,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
4,2002-04-05,14654.4021,438111,2.51,17.15,7.148,7.193,7.272,6.181,6.238,6.0,9.02,24779,48.84,-45.14,12.6,117.69,6.7,7.425,11.6416,7.7269,19.6084,7.5296,84.47,3.2,-66.67,6.5,14.04,11.44,-7.1,73.31,55167,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.1846,10.2338,1.2646,0.9051,2.15,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
5,2002-04-06,14654.4021,438111,2.51,17.15,7.132,7.193,7.272,6.186,6.238,6.0,9.02,24779,48.84,-45.14,12.6,117.69,6.7,7.425,11.6416,7.7269,19.6084,7.5296,84.47,3.2,-66.67,6.5,14.04,11.44,-7.1,73.31,55167,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.1846,10.2338,1.2646,0.9051,2.15,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
6,2002-04-07,14654.4021,438111,2.51,17.15,7.132,7.193,7.272,6.186,6.238,6.0,9.02,24779,48.84,-45.14,12.6,117.69,6.7,7.425,11.6416,7.7269,19.6084,7.5296,84.47,3.2,-66.67,6.5,14.04,11.44,-7.1,73.31,55167,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.1846,10.2338,1.2646,0.9051,2.15,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
7,2002-04-08,14695.9021,438111,2.5,17.05,7.182,7.193,7.272,6.172,6.238,6.0,9.1,24779,48.905,-15.26,20.3,118.2,6.775,7.425,11.6416,7.7269,19.6084,7.5296,84.52,3.2,-66.67,6.5,14.04,11.44,-7.1,73.31,55167,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.2562,10.2338,1.2646,0.9051,2.1674,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
8,2002-04-09,14600.5017,438111,2.49,16.96,7.186,7.193,7.272,6.153,6.238,6.0,9.06,24779,48.905,-22.31,-73.9,117.56,6.775,7.425,11.6416,7.7269,19.6084,7.5296,84.34,3.2,-66.67,6.5,14.04,11.44,-7.1,73.31,55167,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.26,10.2338,1.2646,0.9051,2.1788,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
9,2002-04-10,14732.6014,438111,2.5,17.04,7.318,7.193,7.272,6.238,6.238,6.0,8.82,24779,48.905,17.08,11.6,117.56,6.795,7.375,11.6416,7.7269,19.6084,7.5296,84.27,3.2,-66.67,6.5,14.04,11.44,-7.1,73.31,55167,64.73,10494.49,15736,0.501,23215.1,6.3,13.734,12.1687,1.423,1.5806,316.7358,1.1207,0.7773,0.8766,0.9653,30.347,7.0629,3.8663,1.2376,10.2338,1.2646,0.9051,2.1855,28.1765,5.1475,3.5401,0.8595,12.7167,4.3121,0.8044,1.2637,17.0541,4.5422,2.2291,1.6202,0.8885,12.4125
